Field	RAJ2000	DEJ2000	ID	Period	V-I	F160W	e_F160W	Offset	Bias	IMrms	[O/H]	Flag	OCat
n3021	147.7210	+33.55510	  73805	 22.900	 0.77	25.61	 0.20	 0.47	 0.00	  0.81	 8.44	         	  1
n3021	147.7270	+33.55610	  69513	 23.980	 0.97	24.70	 0.44	 0.86	 0.41	  7.44	 8.88	         	  2
n3021	147.7260	+33.56000	  70368	 25.140	 0.71	25.96	 0.41	 0.10	 0.06	  3.82	 8.68	         	  2
n3021	147.7320	+33.54880	  60391	 28.670	 0.86	24.89	 0.31	 0.61	 0.11	 10.40	 8.76	         	  4
n3021	147.7480	+33.55030	  31450	 31.640	 0.70	24.30	 0.54	 8.72	 0.69	 36.10	 8.98	         	  4
n3021	147.7370	+33.55930	  54600	 32.590	 0.86	24.80	 0.47	 1.07	 0.27	 20.10	 8.92	         	  2
n3021	147.7280	+33.54750	  66191	 32.660	 0.79	25.81	 0.24	 1.17	 0.04	  0.72	 8.36	rej      	  2
n3021	147.7340	+33.55150	  57991	 35.430	 0.67	24.93	 0.62	 2.19	 0.49	  1.85	 9.18	         	  1
n3021	147.7280	+33.55890	  68742	 36.730	 0.96	25.10	 0.29	 0.11	 0.19	 13.80	 8.83	         	  2
n3021	147.7460	+33.55600	  94290	 37.110	 1.11	25.10	 0.73	 4.34	 0.86	 16.00	 8.93	         	  1
n3021	147.7320	+33.54890	  59774	 39.190	 0.92	24.56	 0.32	 1.26	 0.27	  6.17	 8.79	         	  4
n3021	147.7480	+33.55110	  32262	 44.790	 1.26	24.24	 0.55	 3.30	 0.57	 19.20	 9.02	         	  2
n3021	147.7470	+33.55500	  34624	 48.270	 1.00	23.98	 0.59	 0.94	 0.38	 34.10	 8.93	         	  0
n3021	147.7390	+33.55810	 101986	 56.240	 1.20	24.70	 0.53	 5.76	 0.70	 21.80	 9.03	         	  1
n3021	147.7510	+33.55410	  26664	 58.580	 0.76	24.33	 0.26	 0.69	 0.05	  3.17	 8.67	         	  2
n3021	147.7450	+33.55620	  38746	 74.770	 0.81	23.18	 0.52	 2.32	 0.27	 31.40	 8.96	         	  1
n3021	147.7330	+33.55790	  61619	 81.020	 1.14	24.06	 0.38	 0.28	 0.36	  7.11	 9.10	         	  0
n3021	147.7470	+33.55170	  33806	108.300	 0.87	23.76	 0.49	 2.64	 0.39	 49.60	 9.08	         	  4
n1309	050.5352	-15.41100	   7989	 39.410	 0.89	24.55	 0.26	 0.38	 0.05	  5.12	 8.85	         	  2
n1309	050.5262	-15.41000	  27980	 39.920	 1.07	25.06	 0.60	 3.55	 0.52	 17.20	 8.93	         	  1
n1309	050.5131	-15.41220	  52975	 40.520	 0.76	25.57	 0.17	 0.18	 0.03	  1.80	 8.56	rej      	  1
n1309	050.5339	-15.38690	   7994	 40.680	 0.89	25.35	 0.61	 4.59	 0.45	  3.05	 8.81	         	  2
n1309	050.5416	-15.39650	   1166	 41.110	 1.10	25.12	 0.21	 0.41	 0.08	  2.13	 8.82	         	  2
n1309	050.5241	-15.40280	  76534	 41.860	 0.62	25.55	 0.77	 2.05	 1.45	 36.50	 9.09	         	  1
n1309	050.5282	-15.40870	  22918	 42.030	 0.82	24.28	 0.43	 2.23	 0.45	 34.40	 8.99	         	  4
n1309	050.5402	-15.39410	   2032	 42.530	 0.72	24.45	 0.24	 0.22	 0.05	  5.20	 8.85	         	  2
n1309	050.5161	-15.38610	  48747	 42.680	 0.85	24.96	 0.16	 0.51	 0.03	  2.93	 8.63	         	  1
n1309	050.5288	-15.39770	  67393	 42.740	 0.85	25.01	 0.67	 1.40	 1.08	 42.60	 9.23	         	  1
n1309	050.5351	-15.38550	  58298	 43.520	 0.77	24.87	 0.21	 0.88	 0.05	  7.39	 8.75	         	  1
n1309	050.5350	-15.40070	   7331	 44.580	 0.52	24.73	 0.81	 4.11	 0.98	 59.20	 9.08	         	  1
n1309	050.5406	-15.39460	   1732	 45.000	 0.72	24.73	 0.21	 0.03	 0.07	 10.20	 8.84	         	  1
n1309	050.5298	-15.40830	  19368	 45.250	 0.79	26.25	 0.67	 2.51	 0.38	  0.21	 9.00	rej      	  1
n1309	050.5162	-15.39830	  49584	 45.670	 0.78	25.75	 0.58	 3.55	 0.52	 19.40	 8.83	rej      	  1
n1309	050.5302	-15.39050	  16143	 46.740	 1.00	25.05	 0.37	 0.70	 0.37	 14.60	 8.97	         	  1
n1309	050.5315	-15.40690	  15346	 46.850	 0.81	24.18	 0.54	 0.79	 0.31	 32.20	 9.04	         	  2
n1309	050.5132	-15.40390	  52566	 47.410	 0.53	24.70	 0.38	 5.01	 0.16	  1.76	 8.70	         	  2
n1309	050.5135	-15.39880	  52170	 47.990	 0.96	24.89	 0.35	 0.11	 0.24	 14.60	 8.73	         	  2
n1309	050.5370	-15.41210	   4882	 48.910	 0.75	25.24	 0.19	 0.31	 0.00	  6.58	 8.78	rej      	  2
n1309	050.5283	-15.40530	  68817	 49.930	 0.53	25.11	 0.57	 5.29	 0.78	 26.60	 9.11	         	  2
n1309	050.5304	-15.38680	  15318	 51.450	 0.76	24.71	 0.18	 0.41	 0.05	  1.49	 8.84	         	  1
n1309	050.5266	-15.40580	  71911	 51.990	 0.76	24.90	 0.69	 1.98	 0.72	 24.10	 9.07	         	  2
n1309	050.5260	-15.40770	  28132	 52.240	 1.02	25.43	 0.65	 8.51	 0.50	  1.50	 9.00	rej      	  2
n1309	050.5360	-15.41150	   6581	 58.980	 0.79	24.61	 0.20	 0.09	 0.07	  2.35	 8.82	         	  2
n1309	050.5361	-15.41230	   6542	 59.120	 0.90	24.49	 0.21	 0.22	 0.04	  9.43	 8.79	         	  2
n1309	050.5120	-15.39910	  53187	 59.750	 0.57	24.85	 0.29	 2.70	 0.11	 10.10	 8.68	         	  2
n1309	050.5281	-15.40920	  69494	 60.170	 0.92	24.34	 0.33	 2.48	 0.26	 19.70	 8.97	         	  2
n1309	050.5296	-15.40890	  19918	 64.940	 0.81	24.96	 0.36	 0.27	 0.22	  4.42	 8.98	         	  2
n1309	050.5311	-15.40790	  64757	 65.020	 1.09	24.02	 0.37	 0.18	 0.18	  8.58	 9.01	         	  2
n1309	050.5315	-15.38950	  13102	 66.340	 0.82	24.73	 0.26	 0.18	 0.19	  8.57	 8.93	         	  1
n1309	050.5186	-15.39460	  45088	 71.400	 0.78	24.44	 0.56	 5.02	 0.32	 30.00	 8.88	         	  1
n1309	050.5379	-15.40640	   3836	 73.270	 0.87	24.27	 0.17	 0.61	 0.07	 11.00	 8.90	         	  1
n1309	050.5355	-15.41410	   7702	 73.760	 0.86	24.12	 0.22	 0.11	 0.02	  6.18	 8.74	         	  4
n1309	050.5284	-15.41750	  23616	 82.130	 0.90	24.34	 0.12	 0.10	 0.01	  5.35	 8.67	rej      	  1
n1309	050.5364	-15.40170	   4908	 97.890	 0.96	23.99	 0.27	 0.25	 0.08	 14.90	 9.02	         	  1
n5584	215.6120	-00.39317	 835998	 97.750	 1.38	23.67	 0.14	 0.57	 0.02	 17.00	 8.81	rej      	  0
n5584	215.6090	-00.38455	 625643	 93.910	 1.17	24.11	 0.23	 0.56	 0.08	  8.95	 8.85	rej      	  0
n5584	215.6010	-00.37794	 414458	 91.510	 1.52	23.37	 0.21	 0.11	 0.05	  4.01	 8.88	         	  0
n5584	215.6000	-00.37436	 325718	 88.510	 1.14	23.18	 0.18	 1.13	 0.06	 40.00	 8.80	         	  0
n5584	215.6040	-00.37817	 449432	 84.690	 1.03	23.39	 0.23	 0.38	 0.06	 22.30	 8.83	         	  0
n5584	215.6140	-00.38730	 735368	 81.350	 1.09	23.15	 0.16	 0.20	 0.05	  0.75	 8.74	         	  0
n5584	215.5970	-00.37921	 395114	 81.190	 1.28	23.91	 0.23	 0.47	 0.12	  1.19	 8.95	         	  0
n5584	215.5890	-00.37214	 172880	 79.480	 1.23	23.18	 0.16	 0.13	 0.07	  0.33	 8.73	         	  0
n5584	215.5940	-00.37868	 354807	 75.260	 1.17	23.83	 0.20	 0.73	 0.07	  2.32	 8.92	         	  0
n5584	215.5900	-00.37306	 200686	 74.800	 1.34	23.62	 0.20	 1.11	 0.08	 29.20	 8.76	         	  0
n5584	215.5980	-00.39863	 801059	 71.460	 1.04	23.45	 0.17	 0.57	 0.09	 12.30	 8.86	         	  0
n5584	215.6060	-00.39367	 781327	 68.170	 0.97	24.62	 0.38	 1.10	 0.20	  2.26	 8.96	rej      	  0
n5584	215.6120	-00.40291	1028620	 65.820	 1.15	23.69	 0.14	 0.10	 0.07	 16.80	 8.70	         	  0
n5584	215.5890	-00.37954	 325206	 64.080	 1.20	24.02	 0.19	 0.31	 0.08	  4.51	 8.87	         	  0
n5584	215.5950	-00.36959	 185292	 63.110	 0.90	23.89	 0.25	 0.68	 0.07	 23.70	 8.70	         	  0
n5584	215.6000	-00.39367	 715226	 60.540	 1.10	24.25	 0.34	 2.88	 0.16	 31.70	 9.01	         	  0
n5584	215.6080	-00.38414	 607520	 60.040	 1.11	23.76	 0.24	 0.09	 0.14	  4.45	 8.87	         	  0
n5584	215.6070	-00.39206	 758598	 58.780	 1.20	25.00	 0.43	 0.73	 0.21	 18.20	 8.95	rej      	  0
n5584	215.6080	-00.38491	 628911	 57.830	 1.03	23.94	 0.29	 1.55	 0.24	 19.00	 8.87	         	  0
n5584	215.6160	-00.38822	 770520	 57.730	 1.36	23.27	 0.14	 0.41	 0.04	 33.90	 8.70	rej      	  0
n5584	215.5870	-00.36979	 111577	 56.720	 0.95	23.66	 0.23	 0.20	 0.12	 16.40	 8.67	         	  0
n5584	215.6080	-00.39491	 823580	 56.170	 1.36	23.68	 0.23	 0.55	 0.06	  3.63	 8.91	         	  0
n5584	215.6060	-00.37869	 473829	 55.130	 1.02	23.72	 0.26	 0.67	 0.10	 16.60	 8.82	         	  0
n5584	215.5920	-00.39540	 673309	 53.560	 1.21	23.49	 0.20	 0.20	 0.13	 21.80	 8.84	         	  0
n5584	215.5960	-00.38721	 549082	 52.160	 1.05	24.15	 0.33	 2.98	 0.28	 22.90	 9.09	         	  0
n5584	215.6010	-00.38250	 502797	 51.920	 1.17	23.65	 0.24	 2.47	 0.17	 12.10	 9.00	         	  0
n5584	215.6030	-00.39925	 858989	 51.770	 1.11	23.08	 0.20	 3.38	 0.09	 45.30	 8.87	rej      	  0
n5584	215.6160	-00.38786	 766511	 49.350	 1.14	24.56	 0.23	 0.25	 0.08	  9.49	 8.68	         	  0
n5584	215.6130	-00.38965	 775000	 47.940	 1.50	23.97	 0.27	 0.52	 0.15	  1.14	 8.77	         	  0
n5584	215.6060	-00.39904	 891587	 47.860	 1.05	23.79	 0.21	 0.41	 0.14	  4.00	 8.86	         	  0
n5584	215.6130	-00.40295	1031570	 47.050	 1.09	24.17	 0.17	 0.28	 0.10	 14.30	 8.70	         	  0
n5584	215.6020	-00.38074	 478350	 46.750	 1.36	24.41	 0.29	 0.94	 0.16	  4.59	 8.94	         	  0
n5584	215.6050	-00.39433	 781586	 46.660	 0.65	24.38	 0.36	 0.83	 0.36	 26.70	 8.97	         	  0
n5584	215.6040	-00.37848	 455911	 46.100	 1.15	25.36	 0.54	 5.50	 0.27	  8.08	 8.84	rej      	  0
n5584	215.5900	-00.37788	 295981	 45.660	 0.93	24.23	 0.21	 0.02	 0.11	  7.26	 8.85	         	  0
n5584	215.6000	-00.37540	 347072	 44.980	 0.89	23.05	 0.35	 0.11	 0.27	 11.70	 8.83	rej      	  0
n5584	215.5890	-00.36851	  97566	 43.490	 1.42	23.84	 0.26	 3.50	 0.14	 10.40	 8.65	         	  0
n5584	215.5970	-00.37993	 411135	 43.460	 1.01	24.20	 0.38	 0.56	 0.25	 19.50	 8.97	         	  0
n5584	215.6100	-00.38825	 715986	 42.450	 1.46	24.46	 0.32	 0.25	 0.14	  1.60	 8.85	         	  0
n5584	215.5990	-00.37703	 374736	 41.520	 1.07	24.12	 0.44	 1.19	 0.36	 30.40	 8.88	         	  0
n5584	215.5940	-00.37301	 238461	 39.160	 1.35	24.65	 0.46	 0.91	 0.13	 18.70	 8.79	         	  0
n5584	215.6050	-00.38369	 571414	 39.160	 1.07	24.04	 0.31	 0.50	 0.28	  6.99	 8.93	         	  0
n5584	215.6040	-00.40603	1003920	 39.010	 1.07	23.91	 0.31	 0.30	 0.21	 11.70	 8.70	         	  0
n5584	215.6030	-00.38346	 545366	 38.810	 0.88	25.31	 0.46	 3.05	 0.16	 18.90	 8.98	rej      	  0
n5584	215.6140	-00.38679	 727892	 38.650	 1.02	24.73	 0.29	 0.25	 0.24	 10.60	 8.72	         	  0
n5584	215.5930	-00.38372	 449157	 38.490	 0.94	24.72	 0.55	 4.63	 0.43	 26.40	 9.00	         	  0
n5584	215.5970	-00.38486	 513827	 38.200	 1.16	23.80	 0.48	 1.38	 0.36	 18.30	 9.09	         	  0
n5584	215.5930	-00.39158	 605531	 38.070	 1.10	24.79	 0.41	 3.28	 0.20	 10.10	 8.94	         	  0
n5584	215.6120	-00.37894	 550433	 38.040	 1.22	24.27	 0.19	 0.27	 0.07	  8.55	 8.66	         	  0
n5584	215.6110	-00.40276	1015180	 37.170	 1.00	24.15	 0.26	 4.17	 0.11	 11.80	 8.72	         	  0
n5584	215.6090	-00.38349	 606041	 36.880	 0.86	23.84	 0.32	 5.17	 0.24	 14.10	 8.83	         	  0
n5584	215.5990	-00.39494	 738261	 36.540	 1.29	24.60	 0.48	 1.15	 0.36	 29.20	 8.98	         	  0
n5584	215.6000	-00.37715	 390652	 36.480	 0.86	24.25	 0.49	 7.21	 0.22	 34.20	 8.86	         	  0
n5584	215.5970	-00.38040	 421192	 36.290	 1.09	23.90	 0.38	 1.50	 0.11	 29.50	 8.98	         	  0
n5584	215.5960	-00.37243	 253461	 36.270	 1.36	24.54	 0.60	 3.98	 0.54	 10.80	 8.77	         	  0
n5584	215.5940	-00.37074	 200467	 35.850	 1.40	24.93	 0.35	 0.28	 0.28	  3.16	 8.73	         	  0
n5584	215.5950	-00.37075	 208725	 35.130	 0.98	24.76	 0.44	 3.60	 0.31	 24.50	 8.73	         	  0
n5584	215.5980	-00.38330	 493790	 34.440	 1.01	24.94	 0.60	 2.71	 0.53	  0.50	 9.05	         	  0
n5584	215.5970	-00.37295	 267902	 33.470	 0.84	25.99	 0.65	 5.00	 0.62	  8.74	 8.78	rej      	  0
n5584	215.5910	-00.39445	 644384	 33.110	 0.89	25.58	 0.69	 1.96	 0.23	 12.70	 8.83	rej      	  0
n5584	215.5880	-00.37507	 220248	 31.360	 1.05	24.49	 0.28	 0.13	 0.09	  2.92	 8.77	         	  0
n5584	215.6140	-00.39115	 811974	 31.060	 1.04	24.33	 0.37	 1.02	 0.14	 15.50	 8.76	         	  0
n5584	215.6110	-00.39825	 918325	 30.500	 0.95	24.61	 0.31	 1.04	 0.14	 11.60	 8.81	         	  0
n5584	215.5940	-00.38696	 521128	 30.460	 1.07	24.45	 0.40	 2.11	 0.44	 26.50	 9.02	         	  0
n5584	215.5900	-00.38638	 464626	 30.310	 1.21	24.64	 0.36	 0.68	 0.28	 14.90	 8.90	         	  0
n5584	215.6090	-00.37214	 378235	 30.170	 1.15	24.69	 0.19	 0.20	 0.09	 10.80	 8.59	         	  0
n5584	215.5890	-00.38421	 418643	 30.100	 1.09	23.99	 0.30	 0.43	 0.32	 23.10	 8.90	         	  0
n5584	215.6000	-00.38334	 511109	 30.000	 1.07	24.72	 0.44	 3.01	 0.55	 23.80	 9.04	         	  0
n5584	215.6010	-00.38069	 466137	 29.600	 1.19	24.53	 0.55	 1.11	 0.26	  9.32	 8.96	         	  0
n5584	215.6090	-00.40681	1073820	 29.510	 1.20	23.91	 0.21	 0.52	-0.10	 16.90	 8.66	rej      	  0
n5584	215.6000	-00.37848	 412396	 28.870	 0.79	24.66	 0.66	 5.53	 0.46	 25.30	 8.91	         	  0
n5584	215.5890	-00.37474	 230093	 28.360	 1.36	24.49	 0.37	 5.96	 0.29	 21.70	 8.79	         	  0
n5584	215.5960	-00.38491	 504490	 28.310	 0.76	24.40	 0.51	 6.73	 0.56	  4.91	 9.08	         	  0
n5584	215.6130	-00.39728	 927325	 27.860	 1.34	24.68	 0.29	 0.03	 0.23	  7.12	 8.76	         	  0
n5584	215.6010	-00.37244	 298430	 27.530	 0.93	25.12	 0.30	 1.26	 0.26	 13.20	 8.73	         	  0
n5584	215.6090	-00.38314	 602554	 26.710	 1.06	24.19	 0.46	 0.80	 0.34	 19.40	 8.82	         	  0
n5584	215.6050	-00.38320	 563696	 26.660	 1.10	24.94	 0.34	 6.03	 0.32	 21.90	 8.92	         	  0
n5584	215.6130	-00.38673	 711358	 26.640	 0.98	25.59	 0.39	 0.43	 0.02	  8.44	 8.77	         	  0
n5584	215.6110	-00.39485	 852752	 26.360	 1.20	23.96	 0.27	 0.33	 0.22	 12.60	 8.84	rej      	  0
n5584	215.5950	-00.38644	 519642	 25.750	 1.02	23.63	 0.43	 0.27	 0.47	 38.10	 9.05	rej      	  0
n5584	215.6130	-00.37874	 550434	 25.590	 1.09	24.99	 0.28	 1.72	 0.07	  6.68	 8.64	         	  0
n5584	215.6010	-00.39420	 740028	 25.570	 0.97	24.66	 0.63	 1.80	 0.38	 12.40	 9.00	         	  0
n5584	215.5980	-00.40016	 825506	 25.300	 1.01	26.32	 0.49	 4.23	 0.16	 10.20	 8.81	rej      	  0
n5584	215.6100	-00.39836	 912240	 25.060	 0.92	25.21	 0.41	 3.17	 0.27	 19.30	 8.82	         	  0
n5584	215.6120	-00.39635	 892554	 25.020	 1.32	24.48	 0.38	 0.49	 0.20	  3.84	 8.81	         	  0
n5584	215.5880	-00.40016	 729270	 24.710	 1.00	25.06	 0.27	 0.72	 0.23	  4.88	 8.64	         	  0
n5584	215.5870	-00.36849	  82928	 24.280	 0.85	25.13	 0.43	 1.00	 0.09	  8.70	 8.64	         	  0
n5584	215.5830	-00.39387	 552392	 23.440	 0.92	25.91	 0.33	 0.09	 0.14	  4.35	 8.64	rej      	  0
n5584	215.5820	-00.39356	 534937	 23.330	 1.03	25.03	 0.13	 0.38	 0.33	 17.50	 8.61	         	  0
n5584	215.5940	-00.38845	 549585	 22.920	 0.89	24.82	 0.47	 2.86	 0.65	 30.60	 9.01	         	  0
n5584	215.6120	-00.39399	 853244	 22.520	 1.00	26.65	 0.69	 2.85	 0.28	 12.10	 8.80	rej      	  0
n5584	215.5980	-00.37501	 321323	 21.510	 1.09	24.77	 0.76	 2.71	 0.92	 34.00	 8.83	         	  0
n5584	215.6030	-00.39532	 787283	 21.070	 0.97	24.90	 0.50	 2.39	 0.54	 17.90	 8.97	         	  0
n5584	215.5980	-00.40295	 889136	 20.770	 1.15	24.54	 0.35	 2.16	 0.20	  5.19	 8.75	         	  0
n5584	215.5950	-00.37314	 258671	 20.280	 1.00	25.50	 0.43	 4.15	 0.81	 24.60	 8.79	         	  0
n4038	180.4780	-18.85730	   2899	 28.290	 1.31	24.23	 0.39	 1.57	 0.33	 18.10	 8.98	         	  0
n4038	180.4860	-18.87010	  50618	 30.050	 1.09	25.62	 0.61	 5.42	 1.02	 41.00	 9.00	rej      	  0
n4038	180.4860	-18.87270	  61212	 30.060	 1.18	23.69	 0.55	 0.81	 0.61	 33.50	 8.97	rej      	  0
n4038	180.4820	-18.86160	  14127	 32.610	 0.94	24.77	 0.50	 4.32	 0.74	 33.90	 9.05	         	  0
n4038	180.4570	-18.87440	  66568	 35.150	 1.11	24.87	 0.57	 0.41	 0.17	 17.50	 9.00	         	  0
n4038	180.4680	-18.85640	   2098	 36.060	 1.10	24.64	 0.45	 3.47	 0.32	 31.40	 8.95	         	  0
n4038	180.4630	-18.87040	  52139	 36.530	 1.13	24.13	 0.42	 4.38	 1.01	 99.40	 9.12	         	  0
n4038	180.4580	-18.87170	  56965	 37.870	 1.01	23.26	 0.57	 2.09	 0.58	103.00	 9.05	rej      	  0
n4038	180.4660	-18.86120	  12318	 38.710	 0.94	23.93	 0.57	 2.23	 1.01	130.00	 9.06	         	  0
n4038	180.4550	-18.87180	  57613	 39.820	 1.10	23.70	 0.51	 0.81	 0.36	 58.80	 9.01	         	  0
n4038	180.4580	-18.87230	  59401	 40.070	 1.40	24.34	 0.43	 1.42	 0.67	  9.46	 9.04	         	  0
n4038	180.4580	-18.87280	  61493	 40.840	 0.93	24.56	 0.54	 4.28	 0.39	 69.60	 9.04	         	  0
n4038	180.4580	-18.87460	  67110	 41.070	 0.92	24.66	 0.48	 1.23	 0.37	  9.32	 9.01	         	  0
n4038	180.4670	-18.88440	  87068	 42.410	 1.20	24.85	 0.54	 3.80	 0.28	 14.40	 8.82	rej      	  0
n4038	180.4570	-18.87260	  60844	 42.910	 1.04	23.83	 0.54	 6.32	 0.47	 49.50	 9.03	         	  0
n4038	180.4710	-18.87830	  75207	 42.990	 1.27	24.19	 0.37	 5.52	 0.12	 17.00	 8.97	         	  0
n4038	180.4740	-18.85580	   1757	 43.980	 1.26	23.81	 0.27	 0.81	 0.21	 26.70	 8.95	         	  0
n4038	180.4570	-18.86800	  40839	 45.850	 1.13	24.25	 0.35	 3.97	 0.55	 40.50	 9.05	         	  0
n4038	180.4570	-18.87340	  63839	 46.160	 1.12	24.09	 0.39	 1.30	 0.34	 33.40	 9.02	         	  0
n4038	180.4840	-18.87810	  74894	 46.310	 0.93	22.97	 0.50	 0.89	 0.69	112.00	 8.89	rej      	  0
n4038	180.4730	-18.88120	  80094	 46.730	 1.48	23.27	 0.47	 0.76	 0.33	 38.80	 8.89	         	  0
n4038	180.4850	-18.86990	  49858	 50.340	 1.00	24.36	 0.49	 1.67	 0.77	 27.30	 9.02	         	  0
n4038	180.4750	-18.88490	  88457	 53.950	 1.27	23.99	 0.43	 7.73	 1.06	 16.70	 8.78	         	  0
n4038	180.4730	-18.86120	  12435	 54.500	 0.81	23.95	 0.52	 1.63	 0.80	 95.60	 9.09	         	  0
n4038	180.4580	-18.87280	  61356	 58.780	 1.23	24.59	 0.57	 2.70	 0.39	 14.70	 9.04	rej      	  0
n4038	180.4810	-18.88250	  82809	 61.040	 1.03	23.11	 0.43	 2.81	 0.50	 82.20	 8.81	         	  0
n4038	180.4760	-18.87960	  77376	 61.360	 1.40	23.70	 0.62	 2.16	 0.79	  0.20	 8.91	         	  0
n4038	180.4850	-18.87310	  62538	 64.410	 1.28	23.14	 0.29	 0.22	 0.27	 54.20	 8.97	         	  0
n4038	180.4690	-18.86060	  10441	 66.680	 1.23	24.70	 0.63	 3.52	 0.83	 73.50	 9.06	rej      	  0
n4038	180.4690	-18.87480	  67639	 72.930	 1.28	23.53	 0.38	 0.51	 0.26	  6.33	 9.07	         	  0
n4038	180.4870	-18.87490	  67811	 76.830	 1.45	23.03	 0.21	 0.30	 0.21	 13.40	 8.92	         	  0
n4038	180.4700	-18.85850	   5006	102.900	 1.13	23.42	 0.45	 4.17	 0.31	 67.80	 9.02	         	  0
n4038	180.4750	-18.86220	  16265	117.600	 1.32	22.80	 0.39	 0.44	 0.21	 75.30	 9.11	         	  0
n4038	180.4750	-18.86440	  24649	118.800	 1.00	22.71	 0.35	 1.08	 0.39	 76.30	 9.16	         	  0
n4038	180.4770	-18.85990	   8342	121.800	 1.23	23.24	 0.27	 0.69	 0.05	  0.20	 9.05	         	  0
n4038	180.4680	-18.85880	   5625	133.900	 1.27	22.29	 0.31	 1.30	 0.13	134.00	 9.02	         	  0
n4038	180.4590	-18.86810	  41146	162.100	 0.84	22.60	 0.21	 0.20	 0.15	 54.40	 9.07	         	  0
n4038	180.4700	-18.87570	  69575	197.100	 1.07	22.09	 0.16	 0.54	 0.05	 26.20	 9.04	         	  0
n4038	180.4750	-18.86510	  27608	203.300	 0.89	22.30	 0.30	 0.75	 0.10	  8.49	 9.17	         	  0
n4258	184.7130	+47.31220	  50193	 93.230	 0.82	21.20	 0.15	 0.37	 0.05	 55.70	 8.95	rej      	  1
n4258	184.7150	+47.31140	  42837	 95.920	 0.93	20.74	 0.18	 0.18	 0.05	219.00	 8.96	         	  3
n4258	184.7280	+47.31590	   9633	 69.460	 1.18	20.60	 0.23	 0.10	 0.10	259.00	 9.00	rej      	  3
n4258	184.7190	+47.31010	  31107	 58.210	 1.21	21.59	 0.24	 6.69	 0.07	 26.30	 8.97	         	  0
n4258	184.7270	+47.31780	  15470	 50.700	 1.48	20.89	 0.27	 6.80	 0.22	150.00	 8.99	rej      	  7
n4258	184.7140	+47.31270	  47358	 50.890	 0.86	21.58	 0.27	 0.31	 0.14	232.00	 8.96	         	  1
n4258	184.7200	+47.31100	  29058	 40.540	 0.95	21.59	 0.33	 9.81	 0.30	279.00	 8.97	         	  2
n4258	184.7190	+47.31210	  34159	 41.570	 1.01	21.77	 0.32	 0.16	 0.26	 85.90	 8.97	         	  2
n4258	184.7230	+47.31210	  19435	 39.530	 0.82	20.92	 0.35	 0.14	 0.25	453.00	 8.99	rej      	  1
n4258	184.7310	+47.32060	   8480	 37.630	 0.75	21.27	 0.43	 0.27	 0.11	125.00	 8.98	         	  2
n4258	184.7120	+47.30960	  49279	 36.120	 0.94	21.70	 0.27	 1.66	 0.16	216.00	 8.94	         	  2
n4258	184.7300	+47.32000	   8723	 35.570	 0.96	22.73	 0.46	 5.21	 0.52	121.00	 8.99	         	  2
n4258	184.7240	+47.31190	  17423	 34.570	 1.27	22.24	 0.40	 1.63	 0.38	 29.30	 8.99	         	  3
n4258	184.7240	+47.31060	  15103	 34.360	 1.14	23.36	 0.61	 2.91	 0.50	134.00	 8.99	rej      	  0
n4258	184.7200	+47.31410	  33434	 34.480	 0.78	20.86	 0.32	 0.38	 0.41	196.00	 8.97	rej      	  3
n4258	184.7220	+47.30690	  17369	 34.930	 1.00	21.59	 0.37	 5.77	 0.10	 95.50	 8.97	         	  1
n4258	184.7150	+47.30830	 189390	 34.410	 0.95	22.09	 0.29	 1.26	 0.22	 62.60	 8.95	         	  2
n4258	184.7220	+47.31200	  22927	 33.990	 1.04	21.58	 0.29	 0.72	 0.47	214.00	 8.98	         	  2
n4258	184.7320	+47.31840	   3147	 33.390	 1.01	22.50	 0.41	 1.99	 0.37	232.00	 8.99	         	  0
n4258	184.7190	+47.31500	  36217	 31.100	 1.25	23.29	 0.53	 6.28	 0.34	 12.30	 8.97	rej      	  1
n4258	184.7170	+47.31140	  36357	 29.480	 0.86	22.50	 0.41	 0.56	 0.49	  8.14	 8.96	         	  4
n4258	184.7200	+47.30560	  21518	 30.950	 0.46	21.53	 0.34	 4.57	 0.30	 99.90	 8.96	         	  0
n4258	184.7250	+47.31110	  14316	 29.630	 1.14	22.45	 0.44	 4.71	 0.62	 37.40	 8.99	         	  2
n4258	184.7150	+47.31130	  44839	 24.950	 1.10	22.42	 0.47	 2.88	 0.64	 56.50	 8.95	         	  3
n4258	184.7200	+47.31320	  30136	 26.070	 1.21	22.47	 0.47	 3.19	 0.64	178.00	 8.98	         	  4
n4258	184.7140	+47.31170	  46945	 25.120	 0.90	22.09	 0.49	 4.13	 0.37	122.00	 8.95	         	  2
n4258	184.7240	+47.31690	  24960	 25.490	 1.06	22.19	 0.38	 2.44	 0.56	100.00	 8.99	         	  2
n4258	184.7110	+47.31240	  56661	 23.830	 0.68	23.31	 0.42	 2.64	 0.34	 10.80	 8.94	         	  2
n4258	184.7310	+47.32120	   9241	 27.250	 0.72	22.26	 0.50	 3.18	 0.53	280.00	 8.98	         	  2
n4258	184.7200	+47.31320	  31615	 23.980	 1.32	22.20	 0.50	 0.34	 0.71	 95.00	 8.97	         	  4
n4258	184.7150	+47.31110	  43119	 23.810	 0.85	21.87	 0.38	 1.92	 0.40	 63.70	 8.96	rej      	  3
n4258	184.7290	+47.31750	   8361	 23.790	 1.22	22.32	 0.44	 0.67	 0.69	172.00	 8.99	         	  3
